Product Name,link,ean_value,Price,loja,brand,ListPrice,Departament,Category,SubCategory
Refresco em Po Clight,,7622210696489,1.49,Condor,CLIGHT,,BEBIDAS FRIAS,REFRESCO EM PO,DIET-ZERO
Refresco em Po Clight,,7622210696670,1.49,Condor,CLIGHT,,BEBIDAS FRIAS,REFRESCO EM PO,DIET-ZERO
Tigela Nadir,,7891155065678,13.9,Condor,NADIR,,CASA & UTILIDADES,LOUCAS TIGELAS,LOU-TIGELAS DE VIDRO C/TAMPA
Tigela Nadir,,7891155047322,13.9,Condor,NADIR,,CASA & UTILIDADES,LOUCAS TIGELAS,LOU-TIGELAS DE VIDRO C/TAMPA
Faca Tramontina,,7891112225596,20.29,Condor,TRAMONTINA,,CASA & UTILIDADES,UTENSILIOS P/COZINHA,UTC-FACAS DE CORTE
Faca Tramontina,,7891112225077,20.29,Condor,TRAMONTINA,,CASA & UTILIDADES,UTENSILIOS P/COZINHA,UTC-FACAS DE CORTE
Faca para Tomate Tramontina,,7891112225374,11.9,Condor,TRAMONTINA,,CASA & UTILIDADES,UTENSILIOS P/COZINHA,UTC-FACAS DE CORTE
Vermouth Martini,,7891125000074,46.9,Condor,MARTINI,,BEBIDAS QUENTES,DESTILADOS,APERITIVO
Sidra Celebrate,,7896072911022,11.9,Condor,CELEBRATE,,BEBIDAS QUENTES,VINHOS,SIDRA
Condicionador Naturre,,7897414601618,11.2,Condor,NATURRE,,PERFUMARIA/HIGIENE E BELEZA,HIGIENE PARA CABELOS,CONDICIONADOR INTERMEDIARIO
Kit de Cestas Organizadoras Ordene,,7898335081107,16.99,Condor,SANREMO,,CASA & UTILIDADES,ORGANIZACAO DA CASA,ORC-CESTA ORGANIZADORA
Kit de Cestas Organizadoras Ordene,,7898335071368,16.99,Condor,SANREMO,,CASA & UTILIDADES,ORGANIZACAO DA CASA,ORC-CESTA ORGANIZADORA
Kit de Cestas Organizadoras Ordene,,7898335071375,16.99,Condor,SANREMO,,CASA & UTILIDADES,ORGANIZACAO DA CASA,ORC-CESTA ORGANIZADORA
Kit de Cestas Organizadoras Ordene,,7898335071382,16.99,Condor,SANREMO,,CASA & UTILIDADES,ORGANIZACAO DA CASA,ORC-CESTA ORGANIZADORA
Kit de Cestas Organizadoras Ordene,,7898335081060,16.99,Condor,SANREMO,,CASA & UTILIDADES,ORGANIZACAO DA CASA,ORC-CESTA ORGANIZADORA
Kit de Cestas Organizadoras Ordene,,7898335081084,16.99,Condor,SANREMO,,CASA & UTILIDADES,ORGANIZACAO DA CASA,ORC-CESTA ORGANIZADORA
Suco Super Suco,,7898527061115,3.79,Condor,SUPER SUCO,,LATICINIOS,REFRIGERADO,SUCO REFR.LARANJA INDIVIDUAL
Suco Life,,7897195981299,17.99,Condor,SUCO LIFE,,LATICINIOS,REFRIGERADO,SUCO REFR.LARANJA FAMILIAR
Aparelho de Barbear Bic,,70330370005,20.79,Condor,BIC,,PERFUMARIA/HIGIENE E BELEZA,BARBA E DEPILACAO,APARELHO DESCARTAVEL
Aparelho de Barbear Bic,,3086123493131,20.79,Condor,BIC,,PERFUMARIA/HIGIENE E BELEZA,BARBA E DEPILACAO,APARELHO DESCARTAVEL
Vinho Chileno Tradizioni Gran Reserva,,7808765731091,77.62,Condor,TRADIZIONI,,BEBIDAS QUENTES,VINHOS,TINTO CHILENO GRAN RESERVA
Vinho Chileno Tradizioni Gran Reserva,,7808765731121,65.9,Condor,TRADIZIONI,,BEBIDAS QUENTES,VINHOS,TINTO CHILENO GRAN RESERVA
Refrigerante Fanta,,7894900093278,5.49,Condor,FANTA,,BEBIDAS FRIAS,REFRIGERANTES,REFRIG.PET ATE 1500ML
Caneta Hidrografica Ultralavavel Bic Evolution,,3086123444607,16.9,Condor,BIC,,PAPELARIA/VIAGEM/LIVROS,INSTRUMENTOS DE ESCRITA,CANETA HIDROGRAFICA
Molho Gonzalo,,7898959242014,27.59,Condor,Sem marca,,SECA SALGADA,MOLHOS,OUTROS MOLHOS
Pote de Plastico Sanremo,,7896359025107,5.18,Condor,SANREMO,,CASA & UTILIDADES,CONSERVACAO DE ALIMENTOS,CAL-POTES P/FREEZER
Chiclete Trident,,7622210696922,5.79,Condor,TRIDENT,,SECA LEVE,BOMBONIERE,CHICLETE S/ACUCAR CHECK STAND
